Red,Green,Blue,G_std,ExG,Label
200.2193,202.3159,202.49900000000002,42.1381170342245,1.9134999999999707,Healthy
189.699,190.6645,185.48770000000002,60.69179466575361,6.1422999999999774,Healthy
210.8895,212.07590000000002,214.5164,35.446640732091886,-1.2540999999999656,Healthy
202.59220000000002,205.0008,202.816,54.88699845464316,4.593399999999974,Healthy
196.82170000000002,199.52720000000002,198.12560000000002,51.091281645306175,4.107100000000003,Healthy
202.6061,204.55020000000002,202.48260000000002,49.54323041506266,4.011700000000019,Healthy
193.6424,195.1868,198.895,47.8701421113412,-2.163800000000009,Healthy
188.4203,189.89610000000002,184.5667,46.73760696473452,6.805200000000042,Healthy
209.04930000000002,210.2564,211.47570000000002,40.07045119586249,-0.012200000000007094,Healthy
200.1874,200.1982,193.2682,48.34594416039462,6.940800000000024,Healthy
202.4922,205.36700000000002,203.3814,54.63627285055224,4.860400000000027,Healthy
205.9641,206.745,212.9482,37.67294752206144,-5.422300000000007,Healthy
211.4703,213.0671,212.643,47.31327084011416,2.0209000000000117,Healthy
208.7765,209.69410000000002,214.1421,38.4728102065601,-3.5303999999999576,Healthy
187.7229,189.36710000000002,189.44330000000002,39.50281176815126,1.568000000000012,Healthy
203.3146,204.626,209.84810000000002,43.99590803699812,-3.91070000000002,Healthy
196.47390000000001,198.14520000000002,200.70100000000002,41.41560958092966,-0.8845000000000027,Healthy
204.7914,206.7195,209.484,36.39929147318664,-0.8363999999999976,Healthy
198.7597,200.608,205.072,33.34220652566352,-2.615700000000004,Healthy
203.7226,204.4378,199.60410000000002,46.22688320836694,5.548900000000003,Healthy
209.722,210.25390000000002,196.5806,43.7323591267381,14.20520000000002,Healthy
196.41660000000002,198.50670000000002,200.66570000000002,40.36011589564623,-0.06889999999998508,Healthy
192.78470000000002,195.27190000000002,196.65900000000002,42.350624203074,1.1000999999999976,Healthy
175.1309,179.3757,192.1083,53.139547885826076,-8.487800000000021,Healthy
207.5376,208.3599,213.548,41.420793956538255,-4.365799999999979,Healthy
197.6014,199.5068,203.20700000000002,40.57563004760375,-1.7948000000000377,Healthy
208.0036,209.88600000000002,207.47230000000002,51.50221746682364,4.296100000000024,Healthy
200.78900000000002,201.9649,202.7124,38.719678046052984,0.42839999999998213,Healthy
187.1541,189.9136,185.3435,50.21265114530399,7.329599999999999,Healthy
204.7752,207.30880000000002,208.70250000000001,45.007655377279896,1.1399000000000115,Healthy
196.58110000000002,199.5514,193.5752,49.47314986980319,8.946499999999986,Healthy
209.3109,210.5218,210.8232,39.63806661228566,0.9095000000000084,Healthy
179.9266,180.937,180.5847,51.20216822557416,1.362700000000018,Healthy
203.8955,205.07260000000002,200.77630000000002,47.53284053409805,5.4734000000000265,Healthy
190.6703,191.45090000000002,194.4926,44.73023126689597,-2.2610999999999706,Healthy
196.9178,197.341,182.42860000000002,44.6009026702375,15.3356,Healthy
203.8417,204.70940000000002,210.9712,29.47165675085118,-5.39409999999998,Healthy
218.2281,220.23520000000002,219.3367,53.887164343283025,2.905600000000021,Healthy
188.6776,191.32160000000002,188.21620000000001,59.622388189672485,5.7494000000000085,Healthy
205.8906,206.1708,202.5507,48.49677337060675,3.9003000000000156,Healthy
202.0166,209.41080000000002,207.63160000000002,57.92752233058124,9.173400000000015,Healthy
188.6087,190.1303,178.6328,48.510971149936815,13.019100000000009,Healthy
211.741,212.92450000000002,213.2452,33.471205531770046,0.8628000000000213,Healthy
207.7435,207.80550000000002,207.9692,43.129229876616094,-0.10169999999996548,Healthy
173.6098,175.4536,169.8172,56.179089054914414,7.480199999999968,Healthy
194.47670000000002,195.4109,191.4982,47.33448279204079,4.846899999999977,Healthy
210.77630000000002,211.9528,205.97140000000002,52.66609698999926,7.157899999999955,Healthy
208.6652,209.2408,216.6961,34.54296766868761,-6.8796999999999855,Healthy
188.6045,190.252,188.9685,46.561478670677936,2.9310000000000116,Healthy
205.6125,206.3218,208.84120000000001,40.19749301585863,-1.810100000000034,Healthy
214.2949,214.3523,213.9839,39.821165034564196,0.4258000000000095,Healthy
193.13230000000001,197.9128,199.9676,35.283695897113695,2.725699999999989,Healthy
196.84390000000002,200.12730000000002,193.7435,42.19816932889379,9.667200000000008,Healthy
196.08350000000002,204.5338,205.77980000000002,48.982040153101,7.204299999999989,Healthy
197.9513,198.2854,203.7151,39.992176070326515,-5.09559999999999,Healthy
206.3522,208.63500000000002,207.93390000000002,38.740616605831086,2.9839000000000055,Healthy
203.9417,202.5164,203.9952,42.7223586783314,-2.9040999999999997,Healthy
193.42790000000002,196.1001,190.95000000000002,51.25681105950703,7.822299999999956,Healthy
207.6096,209.0462,211.00560000000002,31.966858862891094,-0.5228000000000179,Healthy
196.1793,196.5886,185.93560000000002,47.09127679347844,11.062299999999993,Healthy
204.2793,208.8492,204.7106,54.548096752865774,8.708499999999987,Healthy
192.9137,193.0615,193.3359,44.559974391262884,-0.1266000000000247,Healthy
194.8341,195.7751,196.0842,42.71561915728254,0.6319000000000017,Healthy
